City,Name,Students
Krakow,AGH University of Science and Technology,23000
Krakow,Jagiellonian University,24000
Krakow,Cracow University of Technology,16000
Krakow,University of Agriculture in Krakow,15000
Krakow,Pedagogical University of Krakow,12000
Krakow,Academy of Fine Arts in Krakow,2000
Krakow,University of Music in Krakow,500
Krakow,Pontifical University of John Paul II,4000
Krakow,Krakow University of Economics,15000
Krakow,The Andrzej Frycz Modrzewski Krakow University College,4000
Krakow,Academy of Physical Education in Krakow,4000
Krakow,University of Pedagogy in Krakow,3500
Krakow,Krakow Academy,3000
Krakow,University of Mining and Metallurgy,2500
Krakow,Academy of Applied Psychology,2000
Krakow,Academy of Fine Arts in Krakow Collegium Medicum,1500
Krakow,Higher School of Tourism and Ecology,1200
Krakow,Krakow School of Art and Fashion Design,1000
Krakow,Wyższa Szkoła Informatyki i Zarządzania (WSIiZ),800
Krakow,Władysław Szafer Academy of Agriculture,700
Krakow,Krakow Teacher Training College,600
Warsaw,University of Warsaw,56000
Warsaw,Warsaw University of Technology,34000
Warsaw,School of Economics in Warsaw,22000
Warsaw,SGH Warsaw School of Economics,13000
Warsaw,Medical University of Warsaw,12000
Warsaw,National Defence University of Warsaw,5000
Warsaw,Cardinal Stefan Wyszyński University in Warsaw,12000
Warsaw,University of Life Sciences in Warsaw,14000
Warsaw,Warsaw University of Life Sciences (SGGW),14000
Warsaw,Fryderyk Chopin University of Music,500
Warsaw,Academy of Fine Arts in Warsaw,2000